year,theme,num_sets,prev_num_sets,abs_change,pct_change,total_sets_year,pct_of_portfolio,is_new_theme_year,new_themes_launched
1956,Town Plan,5,6,-1.0,-16.67,18,27.78,0,1
1957,Town Plan,12,5,7.0,140.0,24,50.0,0,0
1958,Town Plan,10,12,-2.0,-16.67,66,15.15,0,0
1959,Town Plan,1,10,-9.0,-90.0,4,25.0,0,0
1961,Town Plan,1,1,0.0,0.0,25,4.0,0,1
1962,Town Plan,2,1,1.0,100.0,13,15.38,0,0
1968,Town Plan,1,2,-1.0,-50.0,42,2.38,0,0
2008,Town Plan,1,1,0.0,0.0,462,0.22,0,9
1997,Video Games and Accessories,1,0,0.0,0.0,286,0.35,1,10
1998,Video Games and Accessories,3,1,2.0,200.0,421,0.71,0,16
1999,Video Games and Accessories,6,3,3.0,100.0,378,1.59,0,12
2000,Video Games and Accessories,9,6,3.0,50.0,408,2.21,0,17
2001,Video Games and Accessories,10,9,1.0,11.11,459,2.18,0,13
2002,Video Games and Accessories,12,10,2.0,20.0,580,2.07,0,6
2003,Video Games and Accessories,7,12,-5.0,-41.67,541,1.29,0,16
2004,Video Games and Accessories,1,7,-6.0,-85.71,466,0.21,0,9
2005,Video Games and Accessories,7,1,6.0,600.0,409,1.71,0,9
2006,Video Games and Accessories,14,7,7.0,100.0,441,3.17,0,7
2007,Video Games and Accessories,6,14,-8.0,-57.14,481,1.25,0,5
2008,Video Games and Accessories,15,6,9.0,150.0,462,3.25,0,9
2009,Video Games and Accessories,16,15,1.0,6.67,550,2.91,0,7
2010,Video Games and Accessories,14,16,-2.0,-12.5,531,2.64,0,14
2011,Video Games and Accessories,32,14,18.0,128.57,644,4.97,0,11
2012,Video Games and Accessories,15,32,-17.0,-53.13,766,1.96,0,18
2013,Video Games and Accessories,16,15,1.0,6.67,809,1.98,0,15
2014,Video Games and Accessories,28,16,12.0,75.0,1043,2.68,0,12
2015,Video Games and Accessories,9,28,-19.0,-67.86,1016,0.89,0,16
